TIME,,C1,C2,,C4
01/06/2018 07:30,,210.0065899,102.9413363,,435.3279817
01/06/2018 07:35,,210.0065899,102.9413363,,435.3279817
01/06/2018 07:40,,219.0059797,102.9413363,,450.7978623
01/06/2018 07:45,,219.0059797,98.94034049,,450.7978623
01/06/2018 07:50,,238.07573,98.94034049,,459.8535733
01/06/2018 07:55,,238.07573,101.9895008,,459.8535733
01/06/2018 08:00,,244.4604598,101.9895008,,470.0881625
01/06/2018 08:05,,244.4604598,101.9895008,,470.0881625
01/06/2018 08:10,,267.032949,101.9895008,,478.887285
01/06/2018 08:15,,267.032949,101.9895008,,478.887285
01/06/2018 08:20,,284.7805004,101.9895008,,487.7836204
01/06/2018 08:25,,284.7805004,102.8715703,,487.7836204
01/06/2018 08:30,,301.5284445,102.8715703,,485.544003
01/06/2018 08:35,,301.5284445,105.7436882,,485.544003
01/06/2018 08:40,,305.8601049,105.7436882,,491.3548524
01/06/2018 08:45,,305.8601049,105.7436882,,491.3548524
01/06/2018 08:50,,315.4647284,104.7035055,,494.2587075
01/06/2018 08:55,,315.4647284,104.7035055,,494.2587075
01/06/2018 09:00,,325.0278991,104.2640127,,508.9837424
01/06/2018 09:05,,325.0278991,104.2640127,,508.9837424
01/06/2018 09:10,,330.3593015,110.1510311,,516.9172885
01/06/2018 09:15,,330.3593015,110.1510311,,516.9172885
01/06/2018 09:20,,341.2279742,110.1510311,,531.7071565
01/06/2018 09:25,,341.2279742,113.3577533,,531.7071565
01/06/2018 09:30,,344.918482,113.3577533,,528.2416229
01/06/2018 09:35,,344.918482,113.3577533,,528.2416229
01/06/2018 09:40,,358.8827153,113.8719396,,540.747105
01/06/2018 09:45,,358.8827153,113.8719396,,540.747105
01/06/2018 09:50,,380.5158734,120.6555226,,558.7787552
01/06/2018 09:55,,380.5158734,120.6555226,,558.7787552
01/06/2018 10:00,,404.836354,123.0174389,,555.3324244
01/06/2018 10:05,,404.836354,123.0174389,,555.3324244
01/06/2018 10:10,,409.526396,127.017274,,560.5618856
