TIME,C1
01/06/2018 13:40,766.7525522
01/06/2018 13:45,766.7525522
01/06/2018 13:50,796.7151714
01/06/2018 13:55,796.7151714
01/06/2018 14:00,832.6886797
01/06/2018 14:05,832.6886797
01/06/2018 14:10,824.1789205
01/06/2018 14:15,824.1789205
01/06/2018 14:20,716.1788506
01/06/2018 14:25,716.1788506
01/06/2018 14:30,659.0276414
01/06/2018 14:35,659.0276414
01/06/2018 14:40,723.3020442
01/06/2018 14:45,723.3020442
01/06/2018 14:50,621.5101982
01/06/2018 14:55,621.5101982
01/06/2018 15:00,624.3184867
01/06/2018 15:05,624.3184867
01/06/2018 15:10,641.3993979
01/06/2018 15:15,641.3993979
01/06/2018 15:20,626.8710315
01/06/2018 15:25,626.8710315
01/06/2018 15:30,630.274414
01/06/2018 15:35,630.274414
01/06/2018 15:40,602.3367061
01/06/2018 15:45,602.3367061
01/06/2018 15:50,602.3367061
01/06/2018 15:55,529.0526835
01/06/2018 16:00,529.0526835
01/06/2018 16:05,623.7665507
01/06/2018 16:10,623.7665507
01/06/2018 16:15,604.8867997
01/06/2018 16:20,604.8867997
01/06/2018 16:25,535.0517392
01/06/2018 16:30,535.0517392
01/06/2018 16:35,612.189283
01/06/2018 16:40,612.189283
01/06/2018 16:45,612.189283
01/06/2018 16:50,612.189283
01/06/2018 16:55,618.8971553
01/06/2018 17:00,618.8971553
01/06/2018 17:05,603.446501
01/06/2018 17:10,603.446501
01/06/2018 17:15,660.1944781
01/06/2018 17:20,660.1944781
01/06/2018 17:25,633.1236914
01/06/2018 17:30,633.1236914
01/06/2018 17:35,656.8647062
01/06/2018 17:40,656.8647062
01/06/2018 17:45,675.428109
01/06/2018 17:50,675.428109
01/06/2018 17:55,652.8118775
01/06/2018 18:00,652.8118775
01/06/2018 18:05,709.5345041
01/06/2018 18:10,709.5345041
01/06/2018 18:15,722.2913819
01/06/2018 18:20,722.2913819
01/06/2018 18:25,610.7303368
01/06/2018 18:30,610.7303368
01/06/2018 18:35,686.5012395
01/06/2018 18:40,686.5012395
01/06/2018 18:45,827.8817321
01/06/2018 18:50,827.8817321
01/06/2018 18:55,743.4668638
01/06/2018 19:00,743.4668638
01/06/2018 19:05,723.6249017
01/06/2018 19:10,723.6249017
01/06/2018 19:15,824.4041529
01/06/2018 19:20,824.4041529
01/06/2018 19:25,958.3811011
01/06/2018 19:30,958.3811011
01/06/2018 19:35,942.3079593
01/06/2018 19:40,942.3079593
01/06/2018 19:45,952.1813315
01/06/2018 19:50,952.1813315
01/06/2018 19:55,901.9816661
01/06/2018 20:00,901.9816661
01/06/2018 20:05,994.6844178
01/06/2018 20:10,994.6844178
01/06/2018 20:15,842.9516974
01/06/2018 20:20,842.9516974
01/06/2018 20:25,878.2024958
01/06/2018 20:30,878.2024958
01/06/2018 20:35,822.7598125
01/06/2018 20:40,822.7598125
01/06/2018 20:45,876.4764982
01/06/2018 20:50,876.4764982
01/06/2018 20:55,856.1547537
01/06/2018 21:00,856.1547537
01/06/2018 21:05,777.8755733
01/06/2018 21:10,777.8755733
01/06/2018 21:15,625.2087952
01/06/2018 21:20,625.2087952
01/06/2018 21:25,662.8831629
01/06/2018 21:30,662.8831629
01/06/2018 21:35,644.9921123
01/06/2018 21:40,644.9921123
01/06/2018 21:45,603.5817855
01/06/2018 21:50,603.5817855
01/06/2018 21:55,483.9985572
01/06/2018 22:00,483.9985572
01/06/2018 22:05,400.7790149
01/06/2018 22:10,400.7790149
01/06/2018 22:15,410.4190227
01/06/2018 22:20,410.4190227
01/06/2018 22:25,222.8113082
01/06/2018 22:30,222.8113082
01/06/2018 22:35,153.8836498
01/06/2018 22:40,153.8836498
01/06/2018 22:45,181.647159
01/06/2018 22:50,181.647159
01/06/2018 22:55,172.5089276
01/06/2018 23:00,172.5089276
01/06/2018 23:05,227.2323659
01/06/2018 23:10,227.2323659
01/06/2018 23:15,253.3633233
01/06/2018 23:20,253.3633233
01/06/2018 23:25,222.7084629
01/06/2018 23:30,222.7084629
01/06/2018 23:35,271.030103
01/06/2018 23:40,271.030103
01/06/2018 23:45,279.7549868
01/06/2018 23:50,279.7549868
01/06/2018 23:55,328.4264488
02/06/2018 00:00,328.4264488
02/06/2018 00:05,356.6823322
02/06/2018 00:10,356.6823322
02/06/2018 00:15,307.3613011
02/06/2018 00:20,307.3613011
02/06/2018 00:25,407.081828
02/06/2018 00:30,407.081828
02/06/2018 00:35,302.3970418
02/06/2018 00:40,302.3970418
02/06/2018 00:45,223.1601318
02/06/2018 00:50,223.1601318
02/06/2018 00:55,311.7660923
02/06/2018 01:00,311.7660923
02/06/2018 01:05,232.6938134
02/06/2018 01:10,232.6938134
02/06/2018 01:15,236.7348946
02/06/2018 01:20,236.7348946
02/06/2018 01:25,247.2873525
02/06/2018 01:30,247.2873525
02/06/2018 01:35,140.7687528
02/06/2018 01:40,140.7687528
02/06/2018 01:45,228.6900484
02/06/2018 01:50,228.6900484
02/06/2018 01:55,237.4550999
02/06/2018 02:00,237.4550999
02/06/2018 02:05,288.7951075
02/06/2018 02:10,288.7951075
02/06/2018 02:15,178.4143453
02/06/2018 02:20,178.4143453
02/06/2018 02:25,190.9393756
02/06/2018 02:30,190.9393756
02/06/2018 02:35,233.8738033
02/06/2018 02:40,233.8738033
02/06/2018 02:45,266.504238
02/06/2018 02:50,266.504238
02/06/2018 02:55,265.6085777
02/06/2018 03:00,265.6085777
02/06/2018 03:05,230.7370684
02/06/2018 03:10,230.7370684
02/06/2018 03:15,241.1894086
02/06/2018 03:20,241.1894086
02/06/2018 03:25,241.1894086
02/06/2018 03:30,234.385339
02/06/2018 03:35,234.385339
02/06/2018 03:40,214.8078051
02/06/2018 03:45,214.8078051
02/06/2018 03:50,241.5218755
02/06/2018 03:55,241.5218755
02/06/2018 04:00,335.0776268
02/06/2018 04:05,335.0776268
02/06/2018 04:10,164.1905122
02/06/2018 04:15,164.1905122
02/06/2018 04:20,277.4873392
02/06/2018 04:25,277.4873392
02/06/2018 04:30,227.1229682
02/06/2018 04:35,227.1229682
02/06/2018 04:40,238.921841
02/06/2018 04:45,238.921841
02/06/2018 04:50,249.4847454
02/06/2018 04:55,249.4847454
02/06/2018 05:00,260.9337664
02/06/2018 05:05,260.9337664
02/06/2018 05:10,328.0988532
02/06/2018 05:15,328.0988532
02/06/2018 05:20,207.3621432
02/06/2018 05:25,207.3621432
02/06/2018 05:30,222.3687811
02/06/2018 05:35,222.3687811
02/06/2018 05:40,257.6713667
02/06/2018 05:45,257.6713667
02/06/2018 05:50,257.6713667
02/06/2018 05:55,257.6713667
02/06/2018 06:00,75.5436413
02/06/2018 06:05,75.5436413
02/06/2018 06:10,225.3308856
02/06/2018 06:15,225.3308856
02/06/2018 06:20,176.0968034
02/06/2018 06:25,176.0968034
02/06/2018 06:30,201.6441242
02/06/2018 06:35,201.6441242
02/06/2018 06:40,227.1630803
02/06/2018 06:45,227.1630803
02/06/2018 06:50,210.0426753
02/06/2018 06:55,210.0426753
02/06/2018 07:00,188.3217762
02/06/2018 07:05,188.3217762
02/06/2018 07:10,241.0115739
02/06/2018 07:15,241.0115739
02/06/2018 07:20,241.0115739
02/06/2018 07:25,339.6715139
02/06/2018 07:30,339.6715139
02/06/2018 07:35,387.0688322
02/06/2018 07:40,387.0688322
02/06/2018 07:45,356.5782035
02/06/2018 07:50,356.5782035
02/06/2018 07:55,234.4935029
02/06/2018 08:00,234.4935029
02/06/2018 08:05,182.6483152
02/06/2018 08:10,182.6483152
